AGLIE' ;2144;1625;22;65;
AIRASCA ;2899;2337;24;116;
ALA DI STURA ;398;316;2;11;
ALBIANO D'IVREA ;1398;1148;18;53;
ALICE SUPERIORE ;575;451;3;22;
ALMESE ;4907;3971;34;190;
ALPETTE ;238;190;7;14;
ALPIGNANO ;14257;11429;71;379;
ANDEZENO ;1505;1277;13;59;
ANDRATE ;410;289;9;22;
ANGROGNA ;727;520;8;38;
ARIGNANO ;803;687;7;25;
AVIGLIANA ;9607;7783;57;303;
AZEGLIO ;1070;843;10;27;
BAIRO ;681;516;1;16;
BALANGERO ;2515;2027;21;73;
BALDISSERO CANAVESE ;427;364;3;13;
BALDISSERO TORINESE ;2909;2438;15;73;
BALME ;86;71;1;2;
BANCHETTE ;2657;2164;15;66;
BARBANIA ;1323;1035;14;37;
BARDONECCHIA ;2503;1972;13;69;
BARONE CANAVESE ;502;415;5;14;
BEINASCO ;14788;12240;81;479;
BIBIANA ;2568;2196;67;122;
BOBBIO PELLICE ;490;375;3;21;
BOLLENGO ;1730;1404;12;63;
BORGARO TORINESE ;10859;9040;52;276;
BORGIALLO ;448;347;3;14;
BORGOFRANCO D'IVREA ;2994;2406;19;102;
BORGOMASINO ;678;571;17;31;
BORGONE SUSA ;1900;1421;14;78;
BOSCONERO ;2488;1989;17;68;
BRANDIZZO ;6587;5306;40;224;
BRICHERASIO ;3483;2850;32;143;
BROSSO ;403;319;6;12;
BROZOLO ;395;299;3;12;
BRUINO ;6634;5685;26;191;
BRUSASCO ;1355;1083;10;41;
BRUZOLO ;1189;933;7;49;
BURIASCO ;1119;887;13;56;
BUROLO ;1093;879;12;36;
BUSANO ;1204;906;11;44;
BUSSOLENO ;5212;3910;39;211;
BUTTIGLIERA ALTA ;5320;4465;29;167;
CAFASSE ;2937;2312;19;116;
CALUSO ;6081;4836;30;191;
CAMBIANO ;5082;4349;36;164;
CAMPIGLIONE-FENILE ;1106;933;15;48;
CANDIA CANAVESE ;1072;856;15;35;
CANDIOLO ;4525;3833;29;131;
CANISCHIO ;261;219;5;12;
CANTALUPA ;1965;1633;18;80;
CANTOIRA ;485;375;6;19;
CAPRIE ;1699;1340;17;89;
CARAVINO ;823;695;11;47;
CAREMA ;617;446;7;28;
CARIGNANO ;7279;5926;53;282;
CARMAGNOLA ;21017;17016;150;702;
CASALBORGONE ;1463;1112;16;44;
CASCINETTE D'IVREA ;1234;978;8;37;
CASELETTE ;2258;1926;17;82;
CASELLE TORINESE ;13988;11138;89;417;
CASTAGNETO PO ;1348;1100;7;27;
CASTAGNOLE PIEMONTE ;1627;1350;39;66;
CASTELLAMONTE ;7768;6026;73;269;
CASTELNUOVO NIGRA ;370;312;5;11;
CASTIGLIONE TORINESE ;4958;4164;27;120;
CAVAGNOLO ;1934;1540;16;72;
CAVOUR ;4471;3601;42;153;
CERCENASCO ;1511;1194;17;57;
CERES ;874;689;5;23;
CERESOLE REALE ;140;121;0;3;
CESANA TORINESE ;840;658;2;14;
CHIALAMBERTO ;293;272;17;26;
CHIANOCCO ;1370;1109;13;66;
CHIAVERANO ;1778;1456;9;53;
CHIERI ;27513;22292;177;708;
CHIESANUOVA ;176;134;0;0;
CHIOMONTE ;827;644;7;19;
CHIUSA DI SAN MICHELE ;1278;992;10;56;
CHIVASSO ;19962;15868;138;632;
CICONIO ;288;229;0;9;
CINTANO ;213;170;6;11;
CINZANO ;322;263;1;8;
CIRIE' ;15110;11955;86;457;
CLAVIERE ;142;115;0;3;
COASSOLO TORINESE ;1211;946;15;47;
COAZZE ;2551;1946;18;103;
COLLEGNO ;40509;33280;158;1066;
COLLERETTO CASTELNUOVO ;267;198;3;10;
COLLERETTO GIACOSA ;516;421;5;22;
CONDOVE ;3830;3025;24;124;
CORIO ;2728;2016;21;89;
COSSANO CANAVESE ;452;365;10;29;
CUCEGLIO ;787;638;5;28;
CUMIANA ;6303;5198;41;206;
CUORGNE' ;7912;6332;59;281;
