AGLIE';WALTER VELTRONI ;PARTITO DEMOCRATICO;450;;
AGLIE';;DI PIETRO ITALIA DEI VALORI;31;;
AGLIE';SILVIO BERLUSCONI ;IL POPOLO DELLA LIBERTA';572;;
AGLIE';;LEGA NORD;213;;
AGLIE';FAUSTO BERTINOTTI ;LA SINISTRA L'ARCOBALENO;38;;
AGLIE';PIER FERDINANDO CASINI ;UNIONE DI CENTRO;105;;
AGLIE';DANIELA GARNERO SANTANCHE' ;LA DESTRA - FIAMMA TRICOLORE;72;;
AGLIE';STEFANO DE LUCA ;P.LIBERALE ITALIANO;9;;
AGLIE';ENRICO BOSELLI ;PARTITO SOCIALISTA;20;;
AGLIE';GIULIANO FERRARA ;ASS.DIFESA DELLA VITA ABORTO?NO,GRAZIE;12;;
AGLIE';FLAVIA D'ANGELI ;SINISTRA CRITICA;10;;
AGLIE';STEFANO MONTANARI ;PER IL BENE COMUNE;10;;
AGLIE';MARCO FERRANDO ;PARTITO COMUNISTA DEI LAVORATORI;8;;
AGLIE';ANTONIO PIARULLI ;MOVIMENTO P.P.A.;1;;
AGLIE';BRUNO DE VITA ;UNIONE DEMOCRATICA PER I CONSUMATORI;9;;
AIRASCA;WALTER VELTRONI ;PARTITO DEMOCRATICO;815;;
AIRASCA;;DI PIETRO ITALIA DEI VALORI;128;;
AIRASCA;SILVIO BERLUSCONI ;IL POPOLO DELLA LIBERTA';748;;
AIRASCA;;LEGA NORD;147;;
AIRASCA;FAUSTO BERTINOTTI ;LA SINISTRA L'ARCOBALENO;81;;
AIRASCA;PIER FERDINANDO CASINI ;UNIONE DI CENTRO;147;;
AIRASCA;DANIELA GARNERO SANTANCHE' ;LA DESTRA - FIAMMA TRICOLORE;75;;
AIRASCA;STEFANO DE LUCA ;P.LIBERALE ITALIANO;11;;
AIRASCA;ENRICO BOSELLI ;PARTITO SOCIALISTA;13;;
AIRASCA;GIULIANO FERRARA ;ASS.DIFESA DELLA VITA ABORTO?NO,GRAZIE;6;;
AIRASCA;FLAVIA D'ANGELI ;SINISTRA CRITICA;10;;
AIRASCA;STEFANO MONTANARI ;PER IL BENE COMUNE;16;;
AIRASCA;MARCO FERRANDO ;PARTITO COMUNISTA DEI LAVORATORI;20;;
AIRASCA;ANTONIO PIARULLI ;MOVIMENTO P.P.A.;1;;
